type,DK,DK_2,FI,NO,NO_1,NO_2,NO_3,NO_4,NO_5,SE,SE_1,SE_2,SE_3,SE_4
hydro,,,1326.0,13119.0,2158.0,3259.0,2583.0,2484.0,2632.0,8154.0,2799.6801609904187,4800.035976792634,597.3755982297317,70.7432408639271
nuclear,,,2706.0,,,,,,,4372.0,0.0,0.0,4372.0,0.0
other,628.0,109.0,1083.0,338.0,21.0,12.0,32.0,168.0,106.0,540.0,17.472117545791626,0.0,312.20562834974356,96.48727722775364
solar,184.0,76.0,,,,,,,,,0.0,0.0,0.0,0.0
wind-offshore,446.0,53.0,,,,,,,,,0.0,0.0,0.0,0.0
wind-onshore,456.0,57.0,23.0,812.0,3.0,748.0,49.0,12.0,,122.0,28.70578509912152,26.30134617331726,46.1250029301523,20.86786579740892
