bidding_zone,load
DK,2983
DK_2,1116
FI,7104
NO,10516
NO_1,2123
NO_2,3098
NO_3,2225
NO_4,1651
NO_5,1420
SE,10132
SE_1,893
SE_2,1326
SE_3,6188
SE_4,1725
