bidding_zone,load
DK,4578.0
DK_2,1854.0
FI,10755.0
NO,18824.0
NO_1,5264.0
NO_2,4979.0
NO_3,3741.0
NO_4,2585.0
NO_5,2254.0
SE,18143.0
SE_1,1120.0
SE_2,2228.0
SE_3,11365.0
SE_4,3430.0
