StorageUnit,name,carrier,bus,p_nom,capital_cost,max_hours,efficiency_store,efficiency_dispatch,cyclic_state_of_charge,p_min_pu,build_year,control,type,p_nom_extendable,p_nom_min,p_nom_max,p_max_pu,p_set,q_set,sign,marginal_cost,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge_per_period,standing_loss,inflow,p_nom_opt,country,bidding_zone,p_set_before_scaling
308 hydro,Mauranger,hydro,6675,256.0,177831.093925293,684.4092,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,159.642992939291,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,256.0
309 hydro,Myster 3,hydro,6653,110.0,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,39.0186116250923,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,110.0
310 hydro,Naddvik,hydro,6659,112.0,177831.093925293,653.801785714286,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,39.7280409273667,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,112.0
311 hydro,Nea,hydro,7061,222.0,177831.093925293,191.954285714286,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,139.416559335897,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,222.0
312 hydro,Nedre Rossaga,hydro,6934,350.0,177831.093925293,31.9742857142857,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,142.551092615909,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,350.0
313 hydro,Nedre Vinstra,hydro,6713,344.0,177831.093925293,107.941233766234,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,234.866556546417,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,344.0
314 hydro,Rendal,hydro,6875,114.0,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,77.833684436894,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,114.0
315 hydro,Rana,hydro,6944,500.0,177831.093925293,4894.8,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,203.644418022728,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,500.0
316 hydro,Oyberget 2,hydro,6666,104.0,177831.093925293,2.03969849246231,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,36.8903237182691,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,104.0
317 hydro,Ovre Vinstra,hydro,6712,140.0,177831.093925293,3106.69714285714,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,95.5852265014487,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,140.0
