type,DK,DK_2,FI,NO,NO_1,NO_2,NO_3,NO_4,NO_5,SE,SE_1,SE_2,SE_3,SE_4
hydro,,,2267.0,21974.0,2489.0,8168.0,3415.0,3893.0,4010.0,12145.0,3499.1779046676334,6635.605996432707,1967.513400474723,277.75665121928847
nuclear,,,2799.0,,,,,,,6895.0,0.0,0.0,6895.0,0.0
other,3038.0,1080.0,4300.0,424.0,22.0,8.0,74.0,229.0,91.0,1469.0,45.47318473650309,0.0,937.4591975510937,251.0136649180524
solar,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0
wind-offshore,538.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0
wind-onshore,322.0,18.0,728.0,977.0,17.0,370.0,408.0,181.0,0.0,1530.0,519.4888835351853,770.9802045739242,155.6951853467607,83.83572654412973
