bidding_zone,load
DK,5018.0
DK_2,1985.0
FI,11674.0
NO,20804.0
NO_1,6294.0
NO_2,5481.0
NO_3,4038.0
NO_4,2718.0
NO_5,2272.0
SE,21290.0
SE_1,1323.0
SE_2,2278.0
SE_3,13809.0
SE_4,3880.0
